LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - V. Cancar,7,4,3,2.1,6.9,2.9,4.7,60.6,0.4,1.3,33.3,0.7,0.9,83.3,0.7,1.1,1.9,1.7,0.6,0.6,0.3,0.4,0.7,0.9,2
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - C. Braun,7,5,2,1.8,3.6,1.1,2.6,44.4,0.4,1.3,33.3,0.9,0.9,100,0,1.1,1.1,0.7,0.9,0.3,0,0,0.9,1,-0.4
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - M. Porter Jr.,7,6,1,1.7,5.7,2,2.7,73.7,0.4,1,42.9,1.3,1.6,81.8,0.1,1.3,1.4,1.6,0.6,0.1,0,0,0.7,1.6,1.4
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - M. Porter Jr.,6,5,1,11.5,28.7,10.3,21.7,47.7,4,10.2,39.3,4,5,80,3,8.3,11.3,7.8,3,1.5,1.2,0.7,4.3,5.2,1.8
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Hyland,6,4,2,3,9.5,3,5,60,0.8,1.7,50,2.7,3.2,84.2,0.7,2,2.7,2.2,0.8,0.5,0.2,0.2,1.8,2.3,1.7
J. Green - N. Jokic - J. Murray - B. Brown - B. Hyland,6,4,2,2.1,5.3,2.3,3.7,63.6,0.3,1,33.3,0.3,0.5,66.7,0.3,1,1.3,1.8,1,0.3,0.2,0,0.5,0.7,-0.8
J. Green - R. Jackson - K. Caldwell-Pope - N. Jokic - B. Brown,6,3,3,1.9,4.2,1.8,3.5,52.4,0.5,1.3,37.5,0,0,0,0.7,1.3,2,1.7,0.5,0.2,0,0,0.8,0.3,-1
J. Green - N. Jokic - J. Murray - B. Hyland - C. Braun,6,6,0,1.3,3.8,1.5,3.2,47.4,0.3,0.7,50,0.5,0.8,60,0.7,1.3,2,1.2,0.2,0.3,0.2,0.3,0.3,0.5,0.5
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,6,4,2,0.9,2.2,0.8,1.7,50,0.5,0.8,60,0,0,0,0.2,0.8,1,0.7,0.2,0,0,0,0.2,0.5,0.2
I. Smith - K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray,6,5,1,0.9,2.3,0.8,1.5,55.6,0.5,0.8,60,0.2,0.2,100,0.2,0.7,0.8,0.8,0.7,0.5,0.3,0,0.2,0.3,0.8
K. Caldwell-Pope - A. Gordon - N. Jokic - V. Cancar - B. Brown,5,3,2,4.7,13,4.4,7.2,61.1,1.2,2.6,46.2,3,3.6,83.3,1.4,2.6,4,3.2,2.4,0.2,1,0.6,2.6,2.2,-0.8
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,5,3,2,1.6,4.6,1.6,3,53.3,0.6,1.4,42.9,0.8,1.2,66.7,0.6,0.8,1.4,1,0.2,0.4,0,0.4,1,0.6,2
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - B. Brown,5,3,2,1.5,3,1.2,2.8,42.9,0.4,1,40,0.2,0.4,50,0.8,0.6,1.4,0.8,0.8,0,0.2,0,1.4,0.4,-2
N. Jokic - J. Murray - V. Cancar - B. Brown - M. Porter Jr.,5,5,0,1.1,3.4,1.4,1.8,77.8,0.6,0.8,75,0,0,0,0,1,1,1.4,0.2,0,0,0.2,0.8,0.2,0.6
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - B. Hyland,5,4,1,0.9,2.4,1,2.2,45.5,0.4,1.2,33.3,0,0,0,0.2,0.8,1,0.6,0,0,0,0,0.2,0.2,0.2
K. Caldwell-Pope - A. Gordon - N. Jokic - D. Reed - B. Brown,4,2,2,5.3,13.3,4.5,9,50,1,3,33.3,3.3,4,81.3,1.3,4.3,5.5,3.3,1.5,1,0,0.8,1.5,2.5,0.8
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - C. Braun,4,4,0,3,7,2.3,4.3,52.9,0.8,2.3,33.3,1.8,2.5,70,0.3,2.5,2.8,2.3,1,0.3,0.8,0,0.8,1.5,1.3
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Hyland - C. Braun,4,3,1,2.7,5.8,2.3,5.5,40.9,0.8,1.8,42.9,0.5,1,50,0.5,2.5,3,1,1.5,1,0.5,0.3,0.8,1.3,-0.5
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - Z. Nnaji,4,3,1,2.3,5.8,2,4.3,47.1,0.8,1.5,50,1,1,100,0.3,1,1.3,1.5,0.3,1,0,0,1,0.5,1.3
J. Green - K. Caldwell-Pope - N. Jokic - B. Hyland - C. Braun,4,4,0,1.8,4.8,1.8,3.5,50,0.3,0.5,50,1,1,100,0.8,1.5,2.3,1,0.5,0.3,0,0.3,0.3,0.5,1.5
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,4,2,2,1.7,4.3,1.8,3.3,53.8,0.8,1.8,42.9,0,0,0,0.3,1,1.3,1.3,0,0,0,0,0.3,0.5,-0.5
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - B. Hyland,4,4,0,1.4,2,0.8,1.8,42.9,0,0.3,0,0.5,1,50,0.5,0.3,0.8,0.3,0.8,0,0,0,1,0.5,-2
J. Green - I. Smith - K. Caldwell-Pope - N. Jokic - C. Braun,4,2,2,1.1,2,0.8,2.5,30,0,0.3,0,0.5,0.5,100,0,1,1,0.8,0.3,0,0.3,0.8,0.3,0.3,-0.5
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown,4,2,2,1.1,3.3,1.3,2.5,50,0.3,0.8,33.3,0.5,1,50,0.5,1,1.5,1,0,0,0,0.3,0.5,0.5,0.3
J. Green - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,0.8,1.5,0.5,1.5,33.3,0.3,0.8,33.3,0.3,0.3,100,0,1,1,0.5,0.8,0,0,0,0.5,0.3,0
A. Gordon - N. Jokic - J. Murray - V. Cancar - C. Braun,4,3,1,0.7,2.3,0.8,1,75,0.3,0.5,50,0.5,0.5,100,0,0.5,0.5,0.8,0.5,0,0.5,0,0.5,0.3,1
