LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
D. Jordan - V. Cancar - B. Brown - M. Porter Jr. - C. Braun,1,0,1,21,50,17,34,50,2,10,20,14,17,82.4,2,14,16,9,6,3,2,1,5,14,-4
D. Jordan - R. Jackson - B. Brown - C. Braun - P. Watson,1,0,1,21,46,19,39,48.7,3,10,30,5,6,83.3,7,13,20,10,6,2,0,4,9,4,-3
D. Jordan - R. Jackson - A. Gordon - B. Brown - C. Braun,1,0,1,20,40,16,40,40,1,9,11.1,7,16,43.8,6,12,18,10,4,8,1,2,4,12,-10
J. Green - D. Jordan - K. Caldwell-Pope - J. Murray - M. Porter Jr.,1,0,1,15,38,12,23,52.2,3,6,50,11,13,84.6,3,12,15,6,4,1,1,2,4,10,3
I. Smith - R. Jackson - T. Bryant - Z. Nnaji - J. White,1,1,0,14,28,12,27,44.4,4,15,26.7,0,0,0,6,15,21,8,8,1,0,1,6,1,11
K. Caldwell-Pope - A. Gordon - J. Murray - T. Bryant - M. Porter Jr.,1,0,1,12,22,7,21,33.3,1,7,14.3,7,10,70,3,6,9,5,2,1,1,0,6,7,-12
D. Jordan - K. Caldwell-Pope - B. Brown - M. Porter Jr. - B. Hyland,1,1,0,12,19,6,18,33.3,2,8,25,5,6,83.3,1,8,9,3,4,3,1,1,3,5,-6
J. Green - J. Murray - V. Cancar - Z. Nnaji - C. Braun,1,1,0,12,22,9,19,47.4,2,8,25,2,2,100,2,9,11,4,2,2,0,0,7,2,7
J. Green - D. Jordan - I. Smith - K. Caldwell-Pope - C. Braun,1,1,0,10,20,9,22,40.9,0,3,0,2,4,50,3,7,10,5,3,2,1,3,5,6,-4
J. Green - D. Jordan - I. Smith - D. Reed - B. Hyland,1,0,1,10,18,6,17,35.3,1,6,16.7,5,6,83.3,3,7,10,2,6,1,0,0,7,4,-14
D. Jordan - I. Smith - V. Cancar - M. Porter Jr. - C. Braun,1,0,1,10,22,8,16,50,4,5,80,2,3,66.7,1,9,10,4,5,0,3,4,7,4,1
R. Jackson - A. Gordon - B. Brown - Z. Nnaji - P. Watson,1,0,1,9,18,7,16,43.8,2,6,33.3,2,2,100,4,8,12,3,2,1,1,1,3,1,7
R. Jackson - K. Caldwell-Pope - T. Bryant - V. Cancar - B. Brown,1,1,0,9,20,7,18,38.9,3,9,33.3,3,5,60,2,4,6,5,2,3,3,0,2,3,-2
I. Smith - V. Cancar - D. Reed - B. Brown - Z. Nnaji,1,1,0,9,18,6,16,37.5,2,4,50,4,4,100,2,5,7,4,0,1,1,2,7,3,1
J. Green - I. Smith - V. Cancar - B. Brown - Z. Nnaji,1,0,1,8,21,7,13,53.8,2,5,40,5,5,100,1,5,6,3,3,2,1,0,2,5,7
K. Caldwell-Pope - V. Cancar - Z. Nnaji - B. Hyland - C. Braun,1,1,0,8,13,5,9,55.6,3,6,50,0,0,0,0,2,2,1,4,0,0,0,4,1,-5
J. Green - R. Jackson - A. Gordon - J. Murray - C. Braun,1,0,1,7,20,7,14,50,2,7,28.6,4,6,66.7,1,6,7,3,0,1,1,0,0,4,7
A. Gordon - J. Murray - B. Brown - C. Braun - P. Watson,1,1,0,7,18,8,13,61.5,2,4,50,0,0,0,0,4,4,6,0,2,2,0,1,2,7
J. Green - I. Smith - D. Reed - M. Porter Jr. - Z. Nnaji,1,0,1,7,10,3,11,27.3,1,7,14.3,3,4,75,1,6,7,2,4,0,1,1,5,2,-11
K. Caldwell-Pope - V. Cancar - D. Reed - B. Hyland - C. Braun,1,1,0,7,19,8,11,72.7,1,3,33.3,2,2,100,0,6,6,3,3,3,0,1,6,1,2
A. Gordon - J. Murray - B. Brown - M. Porter Jr. - P. Watson,1,1,0,7,14,5,13,38.5,1,5,20,3,4,75,4,4,8,2,4,0,3,0,1,5,-2
I. Smith - V. Cancar - D. Reed - P. Watson - J. White,1,1,0,7,24,10,15,66.7,3,6,50,1,1,100,1,4,5,5,0,0,2,1,2,1,-1
N. Jokic - J. Murray - B. Brown - B. Hyland - C. Braun,1,1,0,7,14,5,12,41.7,2,6,33.3,2,3,66.7,2,3,5,2,1,0,0,0,1,2,-3
I. Smith - V. Cancar - B. Brown - Z. Nnaji - P. Watson,1,0,1,6,5,2,13,15.4,0,4,0,1,1,100,1,4,5,0,1,1,2,1,5,1,-7
R. Jackson - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1,1,0,6,19,7,10,70,2,5,40,3,4,75,0,3,3,7,0,2,0,0,0,3,6
V. Cancar - B. Brown - Z. Nnaji - C. Braun - J. White,1,1,0,6,11,5,14,35.7,1,3,33.3,0,0,0,4,7,11,3,2,0,3,0,4,0,-1
J. Green - I. Smith - R. Jackson - V. Cancar - Z. Nnaji,1,0,1,6,19,7,10,70,3,5,60,2,2,100,0,2,2,4,2,3,1,0,1,1,0
D. Jordan - I. Smith - D. Reed - B. Brown - Z. Nnaji,1,1,0,6,10,5,11,45.5,0,3,0,0,0,0,1,8,9,2,3,1,0,0,4,3,2
